Name	WikiID	Introduction
Petrarch	23734	Francesco Petrarca (Italian pronunciation: [franˈtʃesko peˈtrarka]; July 20, 1304 – July 19, 1374), commonly anglicized as Petrarch (), was an Italian scholar and poet in Renaissance Italy, who was one of the earliest humanists. His rediscovery of Cicero's letters is often credited with initiating the 14th-century Renaissance. Petrarch is often considered the founder of Humanism. In the 16th century, Pietro Bembo created the model for the modern Italian language based on Petrarch's works, as well as those of Giovanni Boccaccio, and, to a lesser extent, Dante Alighieri. Petrarch would be later endorsed as a model for Italian style by the Accademia della Crusca. Petrarch's sonnets were admired and imitated throughout Europe during the Renaissance and became a model for lyrical poetry. He is also known for being the first to develop the concept of the "Dark Ages." This standing back from his time was possible because he straddled two worlds—the classical and his own modern day.
Giovanni Boccaccio	12957	Giovanni Boccaccio (; Italian: [dʒoˈvanni bokˈkattʃo]; 1313 – 21 December 1375) was an Italian writer, poet, correspondent of Petrarch, and an important Renaissance humanist. Boccaccio wrote a number of notable works, including The Decameron and On Famous Women. He wrote his imaginative literature mostly in the Italian vernacular, as well as other works in Latin, and is particularly noted for his realistic dialogue which differed from that of his contemporaries, medieval writers who usually followed formulaic models for character and plot.
Fyodor Dostoyevsky	11625	Fyodor Mikhailovich Dostoyevsky (; Russian: Фёдор Миха́йлович Достое́вский; IPA: [ˈfʲɵdər mʲɪˈxajləvʲɪtɕ dəstɐˈjɛfskʲɪj]; 11 November 1821 – 9 February 1881), sometimes transliterated Dostoevsky, was a Russian novelist, short story writer, essayist, journalist and philosopher. Dostoyevsky's literary works explore human psychology in the troubled political, social, and spiritual atmospheres of 19th-century Russia, and engage with a variety of realistic philosophical and religious themes. He began writing in his 20s, and his first novel, Poor Folk, was published in 1846 when he was 25. His most acclaimed works include Crime and Punishment (1866), The Idiot (1869), Demons (1872) and The Brothers Karamazov (1880). Dostoyevsky's oeuvre consists of 11 novels, three novellas, 17 short stories and numerous other works. Many literary critics rate him as one of the greatest psychologists in world literature. His 1864 novella Notes from Underground is considered to be one of the first works of existentialist literature. Born in Moscow in 1821, Dostoyevsky was introduced to literature at an early age through fairy tales and legends, and through books by Russian and foreign authors. His mother died in 1837 when he was 15, and around the same time, he left school to enter the Nikolayev Military Engineering Institute. After graduating, he worked as an engineer and briefly enjoyed a lavish lifestyle, translating books to earn extra money. In the mid-1840s he wrote his first novel, Poor Folk, which gained him entry into St. Petersburg's literary circles. Arrested in 1849 for belonging to a literary group that discussed banned books critical of "Tsarist Russia", he was sentenced to death but the sentence was commuted at the last moment. He spent four years in a Siberian prison camp, followed by six years of compulsory military service in exile. In the following years, Dostoyevsky worked as a journalist, publishing and editing several magazines of his own and later A Writer's Diary, a collection of his writings. He began to travel around western Europe and developed a gambling addiction, which led to financial hardship. For a time, he had to beg for money, but he eventually became one of the most widely read and highly regarded Russian writers. His books have been translated into more than 170 languages. Dostoyevsky was influenced by a wide variety of philosophers and authors including Pushkin, Gogol, Augustine, Shakespeare, Dickens, Balzac, Lermontov, Hugo, Poe, Plato, Cervantes, Herzen, Kant, Belinsky, Hegel, Schiller, Solovyov, Bakunin, Sand, Hoffmann, and Mickiewicz. His writings were widely read both within and beyond his native Russia and influenced an equally great number of later writers including Russians like Aleksandr Solzhenitsyn and Anton Chekhov as well as philosophers such as William Lane Craig, Friedrich Nietzsche and Jean-Paul Sartre.
Theodosius I	31131	Theodosius I (Latin: Flavius Theodosius Augustus; 11 January 347 – 17 January 395), also known as Theodosius the Great, was Roman Emperor from AD 379 to AD 395. Theodosius was the last emperor to rule over both the eastern and the western halves of the Roman Empire. On accepting his elevation, he campaigned against Goths and other barbarians who had invaded the empire. He failed to kill, expel, or entirely subjugate them, and after the Gothic War, they established a homeland south of the Danube, in Illyricum, within the empire's borders. He fought two destructive civil wars, in which he defeated the usurpers Magnus Maximus and Eugenius at great cost to the power of the empire. He also issued decrees that effectively made Orthodox Nicene Christianity the official state church of the Roman Empire. He neither prevented nor punished the destruction of prominent Hellenistic temples of classical antiquity, including the Temple of Apollo in Delphi and the Serapeum in Alexandria. He dissolved the order of the Vestal Virgins in Rome. In 393, he banned the pagan rituals of the Olympics in Ancient Greece. After his death, Theodosius' young sons Arcadius and Honorius inherited the east and west halves respectively, and the Roman Empire was never again re-united, though Eastern Roman emperors after Zeno would claim the united title after Julius Nepos' death in 480 AD.
Elijah	9840	Elijah (Hebrew: אֱלִיָּהוּ, Eliyahu, meaning "My God is Yahu/Jah") or Elias (; Greek: Ηλίας Elías; Syriac: ܐܸܠܝܼܵܐ‎ Elyāe; Arabic: إلياس or إليا, Ilyās or Ilyā) was a prophet and a miracle worker who lived in the northern kingdom of Israel during the reign of Ahab (9th century BC), according to the Books of Kings in the Hebrew Bible. In 1 Kings 18, Elijah defended the worship of the Jewish God over that of the Canaanite deity Baal. God also performed many miracles through Elijah, including resurrection (raising the dead), bringing fire down from the sky, and entering Heaven alive "by a whirlwind". He is also portrayed as leading a school of prophets known as "the sons of the prophets". After his death, Elisha his disciple and most devoted assistant took over his role as leader of this school. The Book of Malachi prophesies Elijah's return "before the coming of the great and terrible day of the LORD", making him a harbinger of the Messiah and of the eschaton in various faiths that revere the Hebrew Bible. References to Elijah appear in Ecclesiasticus, the New Testament, the Mishnah and Talmud, the Quran, the Book of Mormon, the Doctrine and Covenants, and Bahá'í writings. In Judaism, Elijah's name is invoked at the weekly Havdalah ritual that marks the end of Shabbat, and Elijah is invoked in other Jewish customs, among them the Passover Seder and the brit milah (ritual circumcision). He appears in numerous stories and references in the Haggadah and rabbinic literature, including the Babylonian Talmud. The Christian New Testament  describes how Elijah was thought, by some, to be the Messiah. Jesus makes it clear that John the Baptist is "the Elijah" who was promised to come in Malachi 4:5. Elijah appears with Moses during the Transfiguration of Jesus. Elijah is also a figure in various Christian folk traditions, often identified with earlier pagan thunder or sky gods. In Islam, Elijah appears in the Quran as a prophet and messenger of God, where his biblical narrative of preaching against the worshipers of Baal is recounted in a concise form. Due to his importance to Muslims, Catholics and Orthodox Christians, Elijah has been venerated as the patron saint of Bosnia and Herzegovina since 1752.
Solon	58230	Solon (Greek: Σόλων Sólōn, [só.lɔːn]; c. 638 – c. 558 BC) was an Athenian statesman, lawmaker, and poet. He is remembered particularly for his efforts to legislate against political, economic, and moral decline in archaic Athens. His reforms failed in the short term, yet he is often credited with having laid the foundations for Athenian democracy. He wrote poetry for pleasure, as patriotic propaganda, and in defense of his constitutional reforms. Modern knowledge of Solon is limited by the fact that his works only survive in fragments and appear to feature interpolations by later authors, and by the general paucity of documentary and archaeological evidence covering Athens in the early 6th century BC. Ancient authors such as Herodotus and Plutarch are the main source of information, yet they wrote about Solon long after his death, at a time when history was by no means an academic discipline. Fourth century orators, such as Aeschines, tended to attribute to Solon all the laws of their own, much later times.
Strabo	52121	Strabo (; Greek: Στράβων Strabōn; 64 or 63 BC – c. 24 AD) was a Greek geographer, philosopher, and historian who lived in Asia Minor during the transitional period of the Roman Republic into the Roman Empire.
Max Weber	19455	Maximilian Karl Emil "Max" Weber (German: [ˈmaks ˈveːbɐ]; 21 April 1864 – 14 June 1920) was a German sociologist, philosopher, jurist, political economist and the husband of Marianne Schnitger. His ideas profoundly influenced social theory and social research. Weber is often cited, with Émile Durkheim and Karl Marx, as among the three founders of sociology. Weber was a key proponent of methodological antipositivism, arguing for the study of social action through interpretive (rather than purely empiricist) means, based on understanding the purpose and meaning that individuals attach to their own actions. Unlike Durkheim, he did not believe in monocausality and rather proposed that for any outcome there can be multiple causes. Weber's main intellectual concern was understanding the processes of rationalisation, secularisation, and "disenchantment" that he associated with the rise of capitalism and modernity, and which he saw as the result of a new way of thinking about the world. Weber is best known for his thesis combining economic sociology and the sociology of religion, elaborated in his book The Protestant Ethic and the Spirit of Capitalism, in which he proposed that ascetic Protestantism was one of the major "elective affinities" associated with the rise in the Western world of market-driven capitalism and the rational-legal nation-state. He argued that it was in the basic tenets of Protestantism to boost capitalism. Thus, it can be said that the spirit of capitalism is inherent to Protestant religious values. Against Marx's historical materialism, Weber emphasised the importance of cultural influences embedded in religion as a means for understanding the genesis of capitalism. The Protestant Ethic formed the earliest part in Weber's broader investigations into world religion; he went on to examine the religions of China, the religions of India and ancient Judaism, with particular regard to their differing economic consequences and conditions of social stratification. In another major work, "Politics as a Vocation", Weber defined the state as an entity that successfully claims a "monopoly of the legitimate use of physical force within a given territory". He was also the first to categorise social authority into distinct forms, which he labelled as charismatic, traditional, and rational-legal. His analysis of bureaucracy emphasised that modern state institutions are increasingly based on rational-legal authority. Weber also made a variety of other contributions in economic history, as well as economic theory and methodology. Weber's analysis of modernity and rationalisation significantly influenced the critical theory associated with the Frankfurt School. After the First World War, Max Weber was among the founders of the liberal German Democratic Party. He also ran unsuccessfully for a seat in parliament and served as advisor to the committee that drafted the ill-fated democratic Weimar Constitution of 1919. After contracting Spanish flu, he died of pneumonia in 1920, aged 56.
Leo Tolstoy	18622119	Count Lev Nikolayevich Tolstoy (; Russian: Лев Никола́евич Толсто́й, Lev Nikolajevič Tolstoj, pronounced [lʲɛf nʲɪkɐˈlaɪvʲɪtɕ tɐlˈstoj]; 9 September [O.S. 28 August] 1828 – 20 November [O.S. 7 November] 1910), usually referred to in English as Leo Tolstoy, was a Russian writer who is regarded as one of the greatest authors of all time. Born to an aristocratic Russian family in 1828, he is best known for the novels War and Peace (1869) and Anna Karenina (1877), often cited as pinnacles of realist fiction. He first achieved literary acclaim in his twenties with his semi-autobiographical trilogy, Childhood, Boyhood, and Youth (1852–1856), and Sevastopol Sketches (1855), based upon his experiences in the Crimean War. Tolstoy's fiction includes dozens of short stories and several novellas such as The Death of Ivan Ilyich, Family Happiness, and Hadji Murad. He also wrote plays and numerous philosophical essays. In the 1870s Tolstoy experienced a profound moral crisis, followed by what he regarded as an equally profound spiritual awakening, as outlined in his non-fiction work A Confession. His literal interpretation of the ethical teachings of Jesus, centering on the Sermon on the Mount, caused him to become a fervent Christian anarchist and pacifist. Tolstoy's ideas on nonviolent resistance, expressed in such works as The Kingdom of God Is Within You, were to have a profound impact on such pivotal 20th-century figures as Mohandas Gandhi, Martin Luther King, Jr., and James Bevel. Tolstoy also became a dedicated advocate of Georgism, the economic philosophy of Henry George, which he incorporated into his writing, particularly Resurrection.
Thomas Hobbes	29823	Thomas Hobbes (; 5 April 1588 – 4 December 1679), in some older texts Thomas Hobbes of Malmesbury, was an English philosopher who is considered one of the founders of modern political philosophy. Hobbes is best known for his 1651 book Leviathan, which established the social contract theory that has served as the foundation for most later Western political philosophy. In addition to political philosophy, Hobbes also contributed to a diverse array of other fields, including history, jurisprudence, geometry, the physics of gases, theology, ethics, and general philosophy. Though on rational grounds a champion of absolutism for the sovereign, Hobbes also developed some of the fundamentals of European liberal thought: the right of the individual; the natural equality of all men; the artificial character of the political order (which led to the later distinction between civil society and the state); the view that all legitimate political power must be "representative" and based on the consent of the people; and a liberal interpretation of law that leaves people free to do whatever the law does not explicitly forbid. His understanding of humans as being matter and motion, obeying the same physical laws as other matter and motion, remains influential; and his account of human nature as self-interested cooperation, and of political communities as being based upon a "social contract" remains one of the major topics of political philosophy.
Khufu	242606	Khufu ( KOO-foo), usually known as Cheops, originally Khnum-Khufu ( KNOOM-koo-foo), was an ancient Egyptian pharaoh, who ruled during the Fourth Dynasty in the first half of the Old Kingdom period (26th century BC). Khufu was the second pharaoh of the 4th dynasty; he followed his possible father, king Sneferu, on the throne. He is generally accepted as having commissioned the Great Pyramid of Giza, one of the Seven Wonders of the Ancient World, but many other aspects of his reign are rather poorly documented. The only completely preserved portrait of the king is a three-inch high ivory figurine found in a temple ruin of later period at Abydos in 1903. All other reliefs and statues were found in fragments and many buildings of Khufu are lost. Everything known about Khufu comes from inscriptions in his necropolis at Giza and later documents. For example, Khufu is the main actor of the famous Papyrus Westcar from the 13th dynasty. Most documents that mention king Khufu were written by ancient Egyptian and Greek historians around 300 BC. Khufu's obituary is presented there in a conflicting way: While the king enjoyed a long lasting cultural heritage preservation during the period of the Old Kingdom and the New Kingdom, the ancient historians Manetho, Diodorus and Herodotus hand down a very negative depiction of Khufu's character. Thanks to these documents, an obscure and critical picture of Khufu's personality persists.  
Thucydides	30864	Thucydides (; Greek: Θουκυδίδης, Thoukudídēs, Ancient Greek: [tʰuːkydídɛːs]; c. 460 – c. 400 BC) was an Athenian historian and general. His History of the Peloponnesian War recounts the 5th century BC war between Sparta and Athens to the year 411 BC. Thucydides has been dubbed the father of "scientific history" by those who accept his claims to have applied strict standards of evidence-gathering and analysis of cause and effect, without reference to intervention by the gods, as outlined in his introduction to his work. He has also been called the father of the school of political realism, which views the political behavior of individuals and the subsequent outcomes of relations between states as ultimately mediated by and constructed upon the emotions of fear and self-interest. His text is still studied at both universities and military colleges worldwide. The Melian dialogue is regarded as a seminal work of international relations theory, while his version of Pericles' Funeral Oration is widely studied in political theory, history, and classical studies. More generally, Thucydides showed an interest in developing an understanding of human nature to explain behaviour in such crises as plague, massacres, as in that of the Melians, and civil war.
Gottfried Wilhelm von Leibniz	12281	Gottfried Wilhelm (von) Leibniz (; German: [ˈɡɔtfʁiːt ˈvɪlhɛlm fɔn ˈlaɪbnɪts] or [ˈlaɪpnɪts]; French: Godefroi Guillaume Leibnitz; 1 July 1646 [O.S. 21 June] – 14 November 1716) was a German polymath and philosopher who occupies a prominent place in the history of mathematics and the history of philosophy, having developed differential and integral calculus independently of Isaac Newton. Leibniz's notation has been widely used ever since it was published. It was only in the 20th century that his Law of Continuity and Transcendental Law of Homogeneity found mathematical implementation (by means of non-standard analysis). He became one of the most prolific inventors in the field of mechanical calculators. While working on adding automatic multiplication and division to Pascal's calculator, he was the first to describe a pinwheel calculator in 1685 and invented the Leibniz wheel, used in the arithmometer, the first mass-produced mechanical calculator. He also refined the binary number system, which is the foundation of virtually all digital computers. In philosophy, Leibniz is most noted for his optimism, i.e. his conclusion that our Universe is, in a restricted sense, the best possible one that God could have created, an idea that was often lampooned by others such as Voltaire. Leibniz, along with René Descartes and Baruch Spinoza, was one of the three great 17th-century advocates of rationalism. The work of Leibniz anticipated modern logic and analytic philosophy, but his philosophy also looks back to the scholastic tradition, in which conclusions are produced by applying reason to first principles or prior definitions rather than to empirical evidence. Leibniz made major contributions to physics and technology, and anticipated notions that surfaced much later in philosophy, probability theory, biology, medicine, geology, psychology, linguistics, and computer science. He wrote works on philosophy, politics, law, ethics, theology, history, and philology. Leibniz's contributions to this vast array of subjects were scattered in various learned journals, in tens of thousands of letters, and in unpublished manuscripts. He wrote in several languages, but primarily in Latin, French, and German. There is no complete gathering of the writings of Leibniz in English.
Tacitus	19594563	Publius (or Gaius) Cornelius Tacitus (; Classical Latin: [ˈtakɪtʊs]; c. AD 56 – c. AD 120) was a senator and a historian of the Roman Empire. The surviving portions of his two major works—the Annals and the Histories—examine the reigns of the Roman emperors Tiberius, Claudius, Nero, and those who reigned in the Year of the Four Emperors (AD 69). These two works span the history of the Roman Empire from the death of Augustus, in AD 14, to the years of the First Jewish–Roman War, in AD 70. There are substantial lacunae in the surviving texts, including a gap in the Annals that is four books long. Tacitus' other writings discuss oratory (in dialogue format, see Dialogus de oratoribus), Germania (in De origine et situ Germanorum), and the life of his father-in-law, Agricola, the Roman general responsible for much of the Roman conquest of Britain, mainly focusing on his campaign in Britannia (De vita et moribus Iulii Agricolae). Tacitus is considered to be one of the greatest Roman historians. He lived in what has been called the Silver Age of Latin literature, and is known for the brevity and compactness of his Latin prose, as well as for his penetrating insights into the psychology of power politics.
John Calvin	15930	John Calvin (; French: Jean Calvin, pronounced [ʒɑ̃ kalvɛ̃]; born Jehan Cauvin: 10 July 1509 – 27 May 1564) was an influential French theologian, pastor and reformer during the Protestant Reformation. He was a principal figure in the development of the system of Christian theology later called Calvinism, aspects of which include the doctrines of predestination and of the absolute sovereignty of God in salvation of the human soul from death and eternal damnation, in which doctrines Calvin was influenced by and elaborated upon the Augustinian and other Christian traditions. Various Congregational, Reformed, and Presbyterian churches, which look to Calvin as the chief expositor of their beliefs, have spread throughout the world. Calvin was a tireless polemic and apologetic writer who generated much controversy. He also exchanged cordial and supportive letters with many reformers, including Philipp Melanchthon and Heinrich Bullinger. In addition to his seminal Institutes of the Christian Religion, Calvin wrote commentaries on most books of the Bible, confessional documents, and various other theological treatises. Originally trained as a humanist lawyer, he broke from the Roman Catholic Church around 1530. After religious tensions erupted in widespread deadly violence against Protestant Christians in France, Calvin fled to Basel, Switzerland, where in 1536 he published the first edition of the Institutes. In that same year, Calvin was recruited by Frenchman William Farel to help reform the church in Geneva, where he regularly preached sermons throughout the week; but the governing council of the city resisted the implementation of their ideas, and both men were expelled. At the invitation of Martin Bucer, Calvin proceeded to Strasbourg, where he became the minister of a church of French refugees. He continued to support the reform movement in Geneva, and in 1541 he was invited back to lead the church of the city. Following his return, Calvin introduced new forms of church government and liturgy, despite opposition from several powerful families in the city who tried to curb his authority. During this period, Michael Servetus, a Spaniard regarded by both Roman Catholics and Protestants as having a heretical view of the Trinity, arrived in Geneva. He was denounced by Calvin and burned at the stake for heresy by the city council. Following an influx of supportive refugees and new elections to the city council, Calvin's opponents were forced out. Calvin spent his final years promoting the Reformation both in Geneva and throughout Europe.
Walt Disney	32917	Walter Elias Disney (; December 5, 1901 – December 15, 1966) was an American entrepreneur, animator, voice actor and film producer. A pioneer of the American animation industry, he introduced several developments in the production of cartoons. As a film producer, Disney holds the record for most Academy Awards earned by an individual, having won 22 Oscars from 59 nominations. He was presented with two Golden Globe Special Achievement Awards and an Emmy Award, among other honors. Several of his films are included in the National Film Registry by the Library of Congress. Born in Chicago in 1901, Disney developed an early interest in drawing. He took art classes as a boy and got a job as a commercial illustrator at the age of 18. He moved to California in the early 1920s and set up the Disney Brothers Studio with his brother Roy. With Ub Iwerks, Walt developed the character Mickey Mouse in 1928, his first highly popular success; he also provided the voice for his creation in the early years. As the studio grew, Disney became more adventurous, introducing synchronized sound, full-color three-strip Technicolor, feature-length cartoons and technical developments in cameras. The results, seen in features such as Snow White and the Seven Dwarfs (1937), Fantasia, Pinocchio (both 1940), Dumbo (1941) and Bambi (1942), furthered the development of animated film. New animated and live-action films followed after World War II, including the critically successful Cinderella (1950) and Mary Poppins (1964), the latter of which received five Academy Awards. In the 1950s, Disney expanded into the amusement park industry, and in 1955 he opened Disneyland. To fund the project he diversified into television programs, such as Walt Disney's Disneyland and The Mickey Mouse Club; he was also involved in planning the 1959 Moscow Fair, the 1960 Winter Olympics, and the 1964 New York World's Fair. In 1965, he began development of another theme park, Disney World, the heart of which was to be a new type of city, the "Experimental Prototype Community of Tomorrow" (EPCOT). Disney was a heavy smoker throughout his life, and died of lung cancer in December 1966 before either the park or the EPCOT project were completed. Disney was a shy, self-deprecating and insecure man in private but adopted a warm and outgoing public persona. He had high standards and high expectations of those with whom he worked. Although there have been accusations that he was racist or anti-Semitic, they have been contradicted by many who knew him. His reputation changed in the years after his death, from a purveyor of homely patriotic values to a representative of American imperialism. He nevertheless remains an important figure in the history of animation and in the cultural history of the United States, where he is considered a national cultural icon. His film work continues to be shown and adapted; his studio maintains high standards in its production of popular entertainment, and the Disney amusement parks have grown in size and number to attract visitors in several countries.
Thomas More	30479	Sir Thomas More (; 7 February 1478 – 6 July 1535), venerated by Roman Catholics as Saint Thomas More, was an English lawyer, social philosopher, author, statesman and noted Renaissance humanist. He was also a councillor to Henry VIII, and Lord High Chancellor of England from October 1529 to 16 May 1532. He also wrote Utopia, published in 1516, about the political system of an imaginary ideal island nation. More opposed the Protestant Reformation, in particular the theology of Martin Luther and William Tyndale. More also opposed the King's separation from the Catholic Church, refusing to acknowledge Henry as Supreme Head of the Church of England and the annulment of his marriage to Catherine of Aragon. After refusing to take the Oath of Supremacy, he was convicted of treason and beheaded. Of his execution, he was reported to have said: "I die the King's good servant, and God's first." Pope Pius XI canonised More in 1935 as a martyr. Pope John Paul II in 2000 declared him the "heavenly Patron of Statesmen and Politicians." Since 1980, the Church of England has remembered More liturgically as a Reformation martyr. The Soviet Union honoured him for the Communist attitude toward property rights expressed in Utopia.
Le Corbusier	17900	Charles-Édouard Jeanneret, known as Le Corbusier (French: [lə kɔʁbyzje]; October 6, 1887 – August 27, 1965), was a Swiss-French architect, designer, painter, urban planner, writer, and one of the pioneers of what is now called modern architecture. He was born in Switzerland and became a French citizen in 1930. His career spanned five decades; he constructed buildings in Europe, Japan, India, and North and South America. Dedicated to providing better living conditions for the residents of crowded cities, Le Corbusier was influential in urban planning, and was a founding member of the Congrès International d'Architecture Moderne (CIAM). Le Corbusier prepared the master plan for the city of Chandigarh in India, and contributed specific designs for several buildings there. On July 17, 2016, seventeen projects by Le Corbusier in seven countries were inscribed in the list of UNESCO World Heritage sites as "an Outstanding Contribution to the Modern Movement".
Vespasian	32570	Vespasian (;  Latin: Titus Flāvius Caesar Vespasiānus Augustus;  17 November AD 9 – 23 June AD 79) was Roman emperor from AD 69 to AD 79. Vespasian founded the Flavian dynasty that ruled the Empire for twenty-seven years. Vespasian was from an equestrian family that rose into the senatorial rank under the Julio–Claudian emperors. Although he fulfilled the standard succession of public offices and held the consulship in AD 51, Vespasian's renown came from his military success: he was legate of Legio II Augusta during the Roman invasion of Britain in 43 and subjugated Judaea during the Jewish rebellion of 66. While Vespasian besieged Jerusalem during the Jewish rebellion, emperor Nero committed suicide and plunged Rome into a year of civil war known as the Year of the Four Emperors. After Galba and Otho perished in quick succession, Vitellius became the third emperor in April 69. The Roman legions of Roman Egypt and Judaea reacted by declaring Vespasian, their commander, emperor on 1 July 69. In his bid for imperial power, Vespasian joined forces with Mucianus, the governor of Syria, and Primus, a general in Pannonia, leaving his son Titus to command the besieging forces at Jerusalem. Primus and Mucianus led the Flavian forces against Vitellius, while Vespasian took control of Egypt. On 20 December 69, Vitellius was defeated, and the following day Vespasian was declared Emperor by the Senate. Vespasian dated his tribunician years from 1 July, substituting the acts of Rome's senate and people as the legal basis for his appointment with the declaration of his legions, and transforming his legions into an electoral college. Little information survives about the government during Vespasian's ten-year rule. He reformed the financial system at Rome after the campaign against Judaea ended successfully, and initiated several ambitious construction projects. He began the building of the Flavian Amphitheatre, better known today as the Roman Colosseum. In reaction to the events of 68–69, Vespasian forced through an improvement in army discipline. Through his general Agricola, Vespasian increased imperial expansion in Britain. After his death in 79, he was succeeded by his eldest son Titus, thus becoming the first Roman Emperor to be directly succeeded by his own natural son and establishing the Flavian dynasty.
Jean-Paul Sartre	16340	Jean-Paul Charles Aymard Sartre (; French: [saʁtʁ]; 21 June 1905 – 15 April 1980) was a French philosopher, playwright, novelist, political activist, biographer, and literary critic. He was one of the key figures in the philosophy of existentialism and phenomenology, and one of the leading figures in 20th-century French philosophy and Marxism. His work has also influenced sociology, critical theory, post-colonial theory, and literary studies, and continues to influence these disciplines. Sartre was also noted for his open relationship with prominent feminist and fellow existentialist philosopher and writer Simone de Beauvoir. Together, Sartre and de Beauvoir challenged the cultural and social assumptions and expectations of their upbringings, which they considered bourgeois, in both lifestyle and thought. The conflict between oppressive, spiritually destructive conformity (mauvaise foi, literally, "bad faith") and an "authentic" way of "being" became the dominant theme of Sartre's early work, a theme embodied in his principal philosophical work Being and Nothingness (L'Être et le Néant, 1943). Sartre's introduction to his philosophy is his work Existentialism and Humanism (L'existentialisme est un humanisme, 1946), originally presented as a lecture. He was awarded the 1964 Nobel Prize in Literature but refused it, saying that he always declined official honours and that "a writer should not allow himself to be turned into an institution".
Johannes Kepler	15736	Johannes Kepler (; German: [joˈhanəsˈkɛplɐ]; December 27, 1571 – November 15, 1630) was a German mathematician, astronomer, and astrologer. A key figure in the 17th-century scientific revolution, he is best known for his laws of planetary motion, based on his works Astronomia nova, Harmonices Mundi, and Epitome of Copernican Astronomy. These works also provided one of the foundations for Isaac Newton's theory of universal gravitation. Kepler was a mathematics teacher at a seminary school in Graz, where he became an associate of Prince Hans Ulrich von Eggenberg. Later he became an assistant to the astronomer Tycho Brahe in Prague, and eventually he was the imperial mathematician to Emperor Rudolf II and his two successors Matthias and Ferdinand II. He was also a mathematics teacher in Linz, and an adviser to General Wallenstein. Additionally, he did fundamental work in the field of optics, invented an improved version of the refracting telescope (the Keplerian telescope), and was mentioned in the telescopic discoveries of his contemporary Galileo Galilei. He was a corresponding member of the Accademia dei Lincei in Rome. Kepler lived in an era when there was no clear distinction between astronomy and astrology, but there was a strong division between astronomy (a branch of mathematics within the liberal arts) and physics (a branch of natural philosophy). Kepler also incorporated religious arguments and reasoning into his work, motivated by the religious conviction and belief that God had created the world according to an intelligible plan that is accessible through the natural light of reason. Kepler described his new astronomy as "celestial physics", as "an excursion into Aristotle's Metaphysics", and as "a supplement to Aristotle's On the Heavens", transforming the ancient tradition of physical cosmology by treating astronomy as part of a universal mathematical physics.
Aleksandr Pushkin	52790	Alexander Sergeyevich Pushkin (; Russian: Алекса́ндр Серге́евич Пу́шкин, tr. Aleksandr Sergeyevich Pushkin; IPA: [ɐlʲɪˈksandr sʲɪˈrɡʲejɪvʲɪtɕ ˈpuʂkʲɪn]; 6 June [O.S. 26 May] 1799 – 10 February [O.S. 29 January] 1837) was a Russian poet, playwright, and novelist of the Romantic era who is considered by many to be the greatest Russian poet and the founder of modern Russian literature. Pushkin was born into Russian nobility in Moscow. His matrilineal great-grandfather was Abram Petrovich Gannibal, who was kidnapped from what is now either Eritrea or Cameroon (there are various scholarly views on this) and raised in the household of Peter the Great. He published his first poem at the age of fifteen, and was widely recognized by the literary establishment by the time of his graduation from the Tsarskoye Selo Lyceum. While under the strict surveillance of the Tsar's political police and unable to publish, Pushkin wrote his most famous play, the drama Boris Godunov. His novel in verse, Eugene Onegin, was serialized between 1825 and 1832. Pushkin was fatally wounded in a duel with his brother-in-law, Georges-Charles de Heeckeren d'Anthès, also known as Dantes-Gekkern, a French officer serving with the Chevalier Guard Regiment who attempted to seduce the poet's wife, Natalia Pushkina.
Anaximander	1168	Anaximander (; Greek: Ἀναξίμανδρος Anaximandros; c. 610 – c. 546 BC) was a pre-Socratic Greek philosopher who lived in Miletus, a city of Ionia (in modern-day Turkey). He belonged to the Milesian school and learned the teachings of his master Thales. He succeeded Thales and became the second master of that school where he counted Anaximenes and, arguably, Pythagoras amongst his pupils. Little of his life and work is known today. According to available historical documents, he is the first philosopher known to have written down his studies, although only one fragment of his work remains. Fragmentary testimonies found in documents after his death provide a portrait of the man. He was an early proponent of science and tried to observe and explain different aspects of the universe, with a particular interest in its origins, claiming that nature is ruled by laws, just like human societies, and anything that disturbs the balance of nature does not last long. Like many thinkers of his time, Anaximander's philosophy included contributions to many disciplines. In astronomy, he attempted to describe the mechanics of celestial bodies in relation to the Earth. In physics, his postulation that the indefinite (or apeiron) was the source of all things led Greek philosophy to a new level of conceptual abstraction. His knowledge of geometry allowed him to introduce the gnomon in Greece. He created a map of the world that contributed greatly to the advancement of geography. He was also involved in the politics of Miletus and was sent as a leader to one of its colonies.
